Artist,Number_Ones,Total_Weeks_At_Number_One,First_Number_One_Year,Last_Number_One_Year,Span_Years,Artist_URL
The Beatles,19,54,1964,1970,6,https://en.wikipedia.org/wiki/The_Beatles
Mariah Carey,16,82,1990,2019,29,https://en.wikipedia.org/wiki/Mariah_Carey
Taylor Swift,13,46,2012,2026,14,https://en.wikipedia.org/wiki/Taylor_Swift
Madonna,12,32,1984,2000,16,https://en.wikipedia.org/wiki/Madonna
Whitney Houston,11,31,1985,1995,10,https://en.wikipedia.org/wiki/Whitney_Houston
Michael Jackson,11,30,1972,1995,23,https://en.wikipedia.org/wiki/Michael_Jackson
The Supremes,10,19,1964,1967,3,https://en.wikipedia.org/wiki/The_Supremes
Bee Gees,9,27,1971,1979,8,https://en.wikipedia.org/wiki/Bee_Gees
Janet Jackson,8,23,1986,1998,12,https://en.wikipedia.org/wiki/Janet_Jackson
The Rolling Stones,8,17,1965,1978,13,https://en.wikipedia.org/wiki/The_Rolling_Stones
Elvis Presley,7,22,1959,1969,10,https://en.wikipedia.org/wiki/Elvis_Presley
Stevie Wonder,7,11,1973,1985,12,https://en.wikipedia.org/wiki/Stevie_Wonder
Drake,6,33,2018,2026,8,https://en.wikipedia.org/wiki/Drake_(musician)
Ariana Grande,6,19,2018,2026,8,https://en.wikipedia.org/wiki/Ariana_Grande
Bruno Mars,6,19,2010,2026,16,https://en.wikipedia.org/wiki/Bruno_Mars
Katy Perry,6,18,2008,2013,5,https://en.wikipedia.org/wiki/Katy_Perry
Rihanna,6,15,2006,2012,6,https://en.wikipedia.org/wiki/Rihanna
Daryl Hall and John Oates,6,14,1977,1984,7,https://en.wikipedia.org/wiki/Hall_&_Oates
Phil Collins,6,14,1984,1989,5,https://en.wikipedia.org/wiki/Phil_Collins
Adele,5,34,2011,2021,10,https://en.wikipedia.org/wiki/Adele
Elton John,5,23,1973,1997,24,https://en.wikipedia.org/wiki/Elton_John
Usher,5,22,1998,2004,6,https://en.wikipedia.org/wiki/Usher_(entertainer)
The Four Seasons,5,18,1962,1976,14,https://en.wikipedia.org/wiki/The_Four_Seasons_(band)
BTS,5,16,2020,2026,6,https://en.wikipedia.org/wiki/BTS
George Michael,5,12,1987,1990,3,https://en.wikipedia.org/wiki/George_Michael
Paula Abdul,5,12,1989,1991,2,https://en.wikipedia.org/wiki/Paula_Abdul
Diana Ross,5,11,1970,1980,10,https://en.wikipedia.org/wiki/Diana_Ross
KC and the Sunshine Band,5,6,1975,1980,5,https://en.wikipedia.org/wiki/KC_and_the_Sunshine_Band
Eagles,5,5,1975,1979,4,https://en.wikipedia.org/wiki/Eagles_(band)
Boyz II Men,4,34,1992,1997,5,https://en.wikipedia.org/wiki/Boyz_II_Men
Beyoncé,4,18,2006,2024,18,https://en.wikipedia.org/wiki/Beyoncé
TLC,4,18,1995,1999,4,https://en.wikipedia.org/wiki/TLC_(music)
Destiny's Child,4,17,1999,2001,2,https://en.wikipedia.org/wiki/Destiny's_Child
Olivia Newton-John,4,17,1974,1981,7,https://en.wikipedia.org/wiki/Olivia_Newton-John
The Weeknd,4,14,2015,2020,5,https://en.wikipedia.org/wiki/The_Weeknd
Bobby Vinton,4,12,1962,1964,2,https://en.wikipedia.org/wiki/Bobby_Vinton
Lionel Richie,4,12,1982,1985,3,https://en.wikipedia.org/wiki/Lionel_Richie
Olivia Rodrigo,4,12,2021,2026,5,https://en.wikipedia.org/wiki/Olivia_Rodrigo
