Number,Song,Artist,Date_Reached,Year_Reached,Weeks_At_Number_One,Last_Week_Date,Returned_To_Top,Song_URL,Artist_URL
1,Poor Little Fool,Ricky Nelson,1958-08-04,1958,2,1958-08-11,N,https://en.wikipedia.org/wiki/Poor_Little_Fool,https://en.wikipedia.org/wiki/Ricky_Nelson
2,Volare (Nel blu dipinto di blu),Domenico Modugno,1958-08-18,1958,5,1958-09-22,Y,"https://en.wikipedia.org/wiki/Nel_blu,_dipinto_di_blu_(song)",https://en.wikipedia.org/wiki/Domenico_Modugno
3,Little Star,The Elegants,1958-08-25,1958,1,1958-08-25,N,https://en.wikipedia.org/wiki/Little_Star_(The_Elegants_song),https://en.wikipedia.org/wiki/The_Elegants
4,It's All in the Game,Tommy Edwards,1958-09-29,1958,6,1958-11-03,N,https://en.wikipedia.org/wiki/It's_All_in_the_Game_(song),https://en.wikipedia.org/wiki/Tommy_Edwards
5,It's Only Make Believe,Conway Twitty,1958-11-10,1958,2,1958-11-24,Y,https://en.wikipedia.org/wiki/It's_Only_Make_Believe,https://en.wikipedia.org/wiki/Conway_Twitty
6,Tom Dooley,The Kingston Trio,1958-11-17,1958,1,1958-11-17,N,https://en.wikipedia.org/wiki/Tom_Dooley_(song),https://en.wikipedia.org/wiki/The_Kingston_Trio
7,To Know Him Is to Love Him,The Teddy Bears,1958-12-01,1958,3,1958-12-15,N,https://en.wikipedia.org/wiki/To_Know_Him_Is_to_Love_Him,https://en.wikipedia.org/wiki/The_Teddy_Bears
8,The Chipmunk Song (Christmas Don't Be Late),The Chipmunks with David Seville,1958-12-22,1958,4,1959-01-12,N,https://en.wikipedia.org/wiki/The_Chipmunk_Song_(Christmas_Don't_Be_Late),https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks
9,Smoke Gets in Your Eyes,The Platters,1959-01-19,1959,3,1959-02-02,N,https://en.wikipedia.org/wiki/Smoke_Gets_in_Your_Eyes,https://en.wikipedia.org/wiki/The_Platters
10,Stagger Lee,Lloyd Price,1959-02-09,1959,4,1959-03-02,N,https://en.wikipedia.org/wiki/Stagger_Lee,https://en.wikipedia.org/wiki/Lloyd_Price
11,Venus,Frankie Avalon,1959-03-09,1959,5,1959-04-06,N,https://en.wikipedia.org/wiki/Venus_(Frankie_Avalon_song),https://en.wikipedia.org/wiki/Frankie_Avalon
12,Come Softly to Me,The Fleetwoods,1959-04-13,1959,4,1959-05-04,N,https://en.wikipedia.org/wiki/Come_Softly_to_Me,https://en.wikipedia.org/wiki/The_Fleetwoods
13,The Happy Organ,"Dave ""Baby"" Cortez",1959-05-11,1959,1,1959-05-11,N,https://en.wikipedia.org/wiki/The_Happy_Organ,"https://en.wikipedia.org/wiki/Dave_""Baby""_Cortez"
14,Kansas City,Wilbert Harrison,1959-05-18,1959,2,1959-05-25,N,https://en.wikipedia.org/wiki/Kansas_City_(R&B_song),https://en.wikipedia.org/wiki/Wilbert_Harrison
15,The Battle of New Orleans,Johnny Horton,1959-06-01,1959,6,1959-07-06,N,https://en.wikipedia.org/wiki/The_Battle_of_New_Orleans,https://en.wikipedia.org/wiki/Johnny_Horton
16,Lonely Boy,Paul Anka,1959-07-13,1959,4,1959-08-03,N,https://en.wikipedia.org/wiki/Lonely_Boy_(Paul_Anka_song),https://en.wikipedia.org/wiki/Paul_Anka
17,A Big Hunk o' Love,Elvis Presley,1959-08-10,1959,2,1959-08-17,N,https://en.wikipedia.org/wiki/A_Big_Hunk_o'_Love,https://en.wikipedia.org/wiki/Elvis_Presley
18,The Three Bells,The Browns,1959-08-24,1959,4,1959-09-14,N,https://en.wikipedia.org/wiki/The_Three_Bells,https://en.wikipedia.org/wiki/The_Browns
19,Sleep Walk,Santo & Johnny,1959-09-21,1959,2,1959-09-28,N,https://en.wikipedia.org/wiki/Sleep_Walk,https://en.wikipedia.org/wiki/Santo_&_Johnny
20,Mack the Knife,Bobby Darin,1959-10-05,1959,9,1959-12-07,Y,https://en.wikipedia.org/wiki/Mack_the_Knife,https://en.wikipedia.org/wiki/Bobby_Darin
21,Mr. Blue,The Fleetwoods,1959-11-16,1959,1,1959-11-16,N,https://en.wikipedia.org/wiki/Mr._Blue,https://en.wikipedia.org/wiki/The_Fleetwoods
22,Heartaches by the Number,Guy Mitchell,1959-12-14,1959,2,1959-12-21,N,https://en.wikipedia.org/wiki/Heartaches_by_the_Number,https://en.wikipedia.org/wiki/Guy_Mitchell
23,Why,Frankie Avalon,1959-12-28,1959,1,1959-12-28,N,https://en.wikipedia.org/wiki/Why_(Frankie_Avalon_song),https://en.wikipedia.org/wiki/Frankie_Avalon
24,El Paso,Marty Robbins,1960-01-04,1960,2,1960-01-11,N,https://en.wikipedia.org/wiki/El_Paso_(song),https://en.wikipedia.org/wiki/Marty_Robbins
25,Running Bear,Johnny Preston,1960-01-18,1960,3,1960-02-01,N,https://en.wikipedia.org/wiki/Running_Bear,https://en.wikipedia.org/wiki/Johnny_Preston
26,Teen Angel,Mark Dinning,1960-02-08,1960,2,1960-02-15,N,https://en.wikipedia.org/wiki/Teen_Angel_(song),https://en.wikipedia.org/wiki/Mark_Dinning
27,Theme from A Summer Place,Percy Faith and his orchestra,1960-02-22,1960,9,1960-04-18,N,https://en.wikipedia.org/wiki/Theme_from_A_Summer_Place,https://en.wikipedia.org/wiki/Percy_Faith
28,Stuck on You,Elvis Presley,1960-04-25,1960,4,1960-05-16,N,https://en.wikipedia.org/wiki/Stuck_on_You_(Elvis_Presley_song),https://en.wikipedia.org/wiki/Elvis_Presley
29,Cathy's Clown,The Everly Brothers,1960-05-23,1960,5,1960-06-20,N,https://en.wikipedia.org/wiki/Cathy's_Clown,https://en.wikipedia.org/wiki/The_Everly_Brothers
30,Everybody's Somebody's Fool,Connie Francis,1960-06-27,1960,2,1960-07-04,N,https://en.wikipedia.org/wiki/Everybody's_Somebody's_Fool,https://en.wikipedia.org/wiki/Connie_Francis
31,Alley Oop,Hollywood Argyles,1960-07-11,1960,1,1960-07-11,N,https://en.wikipedia.org/wiki/Alley_Oop_(song),https://en.wikipedia.org/wiki/Hollywood_Argyles
32,I'm Sorry,Brenda Lee,1960-07-18,1960,3,1960-08-01,N,https://en.wikipedia.org/wiki/I'm_Sorry_(Brenda_Lee_song),https://en.wikipedia.org/wiki/Brenda_Lee
33,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,1960-08-08,1960,1,1960-08-08,N,https://en.wikipedia.org/wiki/Itsy_Bitsy_Teenie_Weenie_Yellow_Polkadot_Bikini,https://en.wikipedia.org/wiki/Brian_Hyland
34,It's Now or Never,Elvis Presley,1960-08-15,1960,5,1960-09-12,N,https://en.wikipedia.org/wiki/It's_Now_or_Never_(song),https://en.wikipedia.org/wiki/Elvis_Presley
35,The Twist,Chubby Checker,1960-09-19,1960,3,1962-01-20,Y,https://en.wikipedia.org/wiki/The_Twist_(song),https://en.wikipedia.org/wiki/Chubby_Checker
36,My Heart Has a Mind of Its Own,Connie Francis,1960-09-26,1960,2,1960-10-03,N,https://en.wikipedia.org/wiki/My_Heart_Has_a_Mind_of_Its_Own,https://en.wikipedia.org/wiki/Connie_Francis
37,Mr. Custer,Larry Verne,1960-10-10,1960,1,1960-10-10,N,https://en.wikipedia.org/wiki/Mr._Custer,https://en.wikipedia.org/wiki/Larry_Verne
38,Save the Last Dance for Me,The Drifters,1960-10-17,1960,3,1960-11-07,Y,https://en.wikipedia.org/wiki/Save_the_Last_Dance_for_Me,https://en.wikipedia.org/wiki/The_Drifters
39,I Want to Be Wanted,Brenda Lee,1960-10-24,1960,1,1960-10-24,N,https://en.wikipedia.org/wiki/I_Want_to_Be_Wanted,https://en.wikipedia.org/wiki/Brenda_Lee
40,Georgia on My Mind,Ray Charles,1960-11-14,1960,1,1960-11-14,N,https://en.wikipedia.org/wiki/Georgia_on_My_Mind,https://en.wikipedia.org/wiki/Ray_Charles
41,Stay,Maurice Williams and the Zodiacs,1960-11-21,1960,1,1960-11-21,N,https://en.wikipedia.org/wiki/Stay_(Maurice_Williams_song),https://en.wikipedia.org/wiki/Maurice_Williams_and_the_Zodiacs
42,Are You Lonesome Tonight?,Elvis Presley,1960-11-28,1960,6,1961-01-02,N,https://en.wikipedia.org/wiki/Are_You_Lonesome_Tonight%3F,https://en.wikipedia.org/wiki/Elvis_Presley
43,Wonderland by Night,Bert Kaempfert,1961-01-09,1961,3,1961-01-23,N,https://en.wikipedia.org/wiki/Wonderland_by_Night,https://en.wikipedia.org/wiki/Bert_Kaempfert
44,Will You Love Me Tomorrow,The Shirelles,1961-01-30,1961,2,1961-02-06,N,https://en.wikipedia.org/wiki/Will_You_Love_Me_Tomorrow,https://en.wikipedia.org/wiki/The_Shirelles
45,Calcutta,Lawrence Welk,1961-02-13,1961,2,1961-02-20,N,https://en.wikipedia.org/wiki/Calcutta_(song),https://en.wikipedia.org/wiki/Lawrence_Welk
46,Pony Time,Chubby Checker,1961-02-27,1961,3,1961-03-13,N,https://en.wikipedia.org/wiki/Pony_Time,https://en.wikipedia.org/wiki/Chubby_Checker
47,Surrender,Elvis Presley,1961-03-20,1961,2,1961-03-27,N,https://en.wikipedia.org/wiki/Surrender_(Elvis_Presley_song),https://en.wikipedia.org/wiki/Elvis_Presley
48,Blue Moon,The Marcels,1961-04-03,1961,3,1961-04-17,N,https://en.wikipedia.org/wiki/Blue_Moon_(1934_song),https://en.wikipedia.org/wiki/The_Marcels
49,Runaway,Del Shannon,1961-04-24,1961,4,1961-05-15,N,https://en.wikipedia.org/wiki/Runaway_(Del_Shannon_song),https://en.wikipedia.org/wiki/Del_Shannon
50,Mother-in-Law,Ernie K-Doe,1961-05-22,1961,1,1961-05-22,N,https://en.wikipedia.org/wiki/Mother-in-Law_(song),https://en.wikipedia.org/wiki/Ernie_K-Doe
51,Travelin' Man,Ricky Nelson,1961-05-29,1961,2,1961-06-12,Y,https://en.wikipedia.org/wiki/Travelin'_Man,https://en.wikipedia.org/wiki/Ricky_Nelson
52,Running Scared,Roy Orbison,1961-06-05,1961,1,1961-06-05,N,https://en.wikipedia.org/wiki/Running_Scared_(Roy_Orbison_song),https://en.wikipedia.org/wiki/Roy_Orbison
53,Moody River,Pat Boone,1961-06-19,1961,1,1961-06-19,N,https://en.wikipedia.org/wiki/Moody_River,https://en.wikipedia.org/wiki/Pat_Boone
54,Quarter to Three,U.S. Bonds,1961-06-26,1961,2,1961-07-03,N,https://en.wikipedia.org/wiki/Quarter_to_Three,https://en.wikipedia.org/wiki/Gary_U.S._Bonds
55,Tossin' and Turnin',Bobby Lewis,1961-07-10,1961,7,1961-08-21,N,https://en.wikipedia.org/wiki/Tossin'_and_Turnin',https://en.wikipedia.org/wiki/Bobby_Lewis
56,Wooden Heart,Joe Dowell,1961-08-28,1961,1,1961-08-28,N,https://en.wikipedia.org/wiki/Wooden_Heart,https://en.wikipedia.org/wiki/Joe_Dowell
57,Michael,The Highwaymen,1961-09-04,1961,2,1961-09-11,N,https://en.wikipedia.org/wiki/Michael_Row_the_Boat_Ashore,https://en.wikipedia.org/wiki/The_Highwaymen_(folk_band)
58,Take Good Care of My Baby,Bobby Vee,1961-09-18,1961,3,1961-10-02,N,https://en.wikipedia.org/wiki/Take_Good_Care_of_My_Baby,https://en.wikipedia.org/wiki/Bobby_Vee
59,Hit the Road Jack,Ray Charles,1961-10-09,1961,2,1961-10-16,N,https://en.wikipedia.org/wiki/Hit_the_Road_Jack,https://en.wikipedia.org/wiki/Ray_Charles
60,Runaround Sue,Dion,1961-10-23,1961,2,1961-10-30,N,https://en.wikipedia.org/wiki/Runaround_Sue,https://en.wikipedia.org/wiki/Dion_DiMucci
61,Big Bad John,Jimmy Dean,1961-11-06,1961,5,1961-12-04,N,https://en.wikipedia.org/wiki/Big_Bad_John,https://en.wikipedia.org/wiki/Jimmy_Dean
62,Please Mr. Postman,The Marvelettes,1961-12-11,1961,1,1961-12-11,N,https://en.wikipedia.org/wiki/Please_Mr._Postman,https://en.wikipedia.org/wiki/The_Marvelettes
63,The Lion Sleeps Tonight,The Tokens,1961-12-18,1961,3,1962-01-06,Y,https://en.wikipedia.org/wiki/The_Lion_Sleeps_Tonight,https://en.wikipedia.org/wiki/The_Tokens
64,Peppermint Twist,Joey Dee and the Starliters,1962-01-27,1962,3,1962-02-10,N,https://en.wikipedia.org/wiki/Peppermint_Twist,https://en.wikipedia.org/wiki/Joey_Dee_and_the_Starliters
65,Duke of Earl,Gene Chandler,1962-02-17,1962,3,1962-03-03,N,https://en.wikipedia.org/wiki/Duke_of_Earl,https://en.wikipedia.org/wiki/Gene_Chandler
66,Hey! Baby,Bruce Channel,1962-03-10,1962,3,1962-03-24,N,https://en.wikipedia.org/wiki/Hey!_Baby,https://en.wikipedia.org/wiki/Bruce_Channel
67,Don't Break the Heart That Loves You,Connie Francis,1962-03-31,1962,1,1962-03-31,N,https://en.wikipedia.org/wiki/Don't_Break_the_Heart_That_Loves_You,https://en.wikipedia.org/wiki/Connie_Francis
68,Johnny Angel,Shelley Fabares,1962-04-07,1962,2,1962-04-14,N,https://en.wikipedia.org/wiki/Johnny_Angel_(song),https://en.wikipedia.org/wiki/Shelley_Fabares
69,Good Luck Charm,Elvis Presley,1962-04-21,1962,2,1962-04-28,N,https://en.wikipedia.org/wiki/Good_Luck_Charm,https://en.wikipedia.org/wiki/Elvis_Presley
70,Soldier Boy,The Shirelles,1962-05-05,1962,3,1962-05-19,N,https://en.wikipedia.org/wiki/Soldier_Boy_(The_Shirelles_song),https://en.wikipedia.org/wiki/The_Shirelles
71,Stranger on the Shore,Mr. Acker Bilk,1962-05-26,1962,1,1962-05-26,N,https://en.wikipedia.org/wiki/Stranger_on_the_Shore,https://en.wikipedia.org/wiki/Mr._Acker_Bilk
72,I Can't Stop Loving You,Ray Charles,1962-06-02,1962,5,1962-06-30,N,https://en.wikipedia.org/wiki/I_Can't_Stop_Loving_You,https://en.wikipedia.org/wiki/Ray_Charles
73,The Stripper,David Rose,1962-07-07,1962,1,1962-07-07,N,https://en.wikipedia.org/wiki/The_Stripper,https://en.wikipedia.org/wiki/David_Rose_(songwriter)
74,Roses Are Red (My Love),Bobby Vinton,1962-07-14,1962,4,1962-08-04,N,https://en.wikipedia.org/wiki/Roses_Are_Red_(My_Love),https://en.wikipedia.org/wiki/Bobby_Vinton
75,Breaking Up Is Hard to Do,Neil Sedaka,1962-08-11,1962,2,1962-08-18,N,https://en.wikipedia.org/wiki/Breaking_Up_Is_Hard_to_Do,https://en.wikipedia.org/wiki/Neil_Sedaka
76,The Loco-Motion,Little Eva,1962-08-25,1962,1,1962-08-25,N,https://en.wikipedia.org/wiki/The_Loco-Motion,https://en.wikipedia.org/wiki/Little_Eva
77,Sheila,Tommy Roe,1962-09-01,1962,2,1962-09-08,N,https://en.wikipedia.org/wiki/Sheila_(Tommy_Roe_song),https://en.wikipedia.org/wiki/Tommy_Roe
78,Sherry,The Four Seasons,1962-09-15,1962,5,1962-10-13,N,https://en.wikipedia.org/wiki/Sherry_(song),https://en.wikipedia.org/wiki/The_Four_Seasons_(band)
79,Monster Mash,"Bobby ""Boris"" Pickett and the Crypt-Kickers",1962-10-20,1962,2,1962-10-27,N,https://en.wikipedia.org/wiki/Monster_Mash,https://en.wikipedia.org/wiki/Bobby_Pickett
80,He's a Rebel,The Crystals,1962-11-03,1962,2,1962-11-10,N,https://en.wikipedia.org/wiki/He's_a_Rebel,https://en.wikipedia.org/wiki/The_Crystals
81,Big Girls Don't Cry,The Four Seasons,1962-11-17,1962,5,1962-12-15,N,https://en.wikipedia.org/wiki/Big_Girls_Don't_Cry_(The_Four_Seasons_song),https://en.wikipedia.org/wiki/The_Four_Seasons_(band)
82,Telstar,The Tornados,1962-12-22,1962,3,1963-01-05,N,https://en.wikipedia.org/wiki/Telstar_(instrumental),https://en.wikipedia.org/wiki/The_Tornados
83,Go Away Little Girl,Steve Lawrence,1963-01-12,1963,2,1963-01-19,N,https://en.wikipedia.org/wiki/Go_Away_Little_Girl,https://en.wikipedia.org/wiki/Steve_Lawrence
84,Walk Right In,The Rooftop Singers,1963-01-26,1963,2,1963-02-02,N,https://en.wikipedia.org/wiki/Walk_Right_In,https://en.wikipedia.org/wiki/The_Rooftop_Singers
85,Hey Paula,Paul & Paula,1963-02-09,1963,3,1963-02-23,N,https://en.wikipedia.org/wiki/Hey_Paula_(song),https://en.wikipedia.org/wiki/Paul_&_Paula
86,Walk Like a Man,The Four Seasons,1963-03-02,1963,3,1963-03-16,N,https://en.wikipedia.org/wiki/Walk_Like_a_Man_(The_Four_Seasons_song),https://en.wikipedia.org/wiki/The_Four_Seasons_(band)
